States,Regions,latitude,longitude,Dates,Usage
Punjab,NR,31.51997398,75.98000281,02/01/2019,119.9
Haryana,NR,28.45000633,77.01999101,02/01/2019,130.3
Rajasthan,NR,26.44999921,74.63998124,02/01/2019,234.1
Delhi,NR,28.6699929,77.23000403,02/01/2019,85.8
UP,NR,27.59998069,78.05000565,02/01/2019,313.9
Uttarakhand,NR,30.32040895,78.05000565,02/01/2019,40.7
HP,NR,31.10002545,77.16659704,02/01/2019,30
J&K,NR,33.45,76.24,02/01/2019,52.5
Chandigarh,NR,30.71999697,76.78000565,02/01/2019,5
Chhattisgarh,WR,22.09042035,82.15998734,02/01/2019,78.7
Gujarat,WR,22.2587,71.1924,02/01/2019,319.5
MP,WR,21.30039105,76.13001949,02/01/2019,253
Maharashtra,WR,19.25023195,73.16017493,02/01/2019,428.6
Goa,WR,15.491997,73.81800065,02/01/2019,12.8
DNH,WR,20.26657819,73.0166178,02/01/2019,18.6
Andhra Pradesh,SR,14.7504291,78.57002559,02/01/2019,164.6
Telangana,SR,18.1124,79.0193,02/01/2019,204.2
Karnataka,SR,12.57038129,76.91999711,02/01/2019,206.3
Kerala,SR,8.900372741,76.56999263,02/01/2019,72.7
Tamil Nadu,SR,12.92038576,79.15004187,02/01/2019,268.3
Pondy,SR,11.93499371,79.83000037,02/01/2019,6.3
Bihar,ER,25.78541445,87.4799727,02/01/2019,82.3
Jharkhand,ER,23.80039349,86.41998572,02/01/2019,24.8
Odisha,ER,19.82042971,85.90001746,02/01/2019,70.2
West Bengal,ER,22.58039044,88.32994665,02/01/2019,108.2
Sikkim,ER,27.3333303,88.6166475,02/01/2019,2
Arunachal Pradesh,NER,27.10039878,93.61660071,02/01/2019,2.1
Assam,NER,26.7499809,94.21666744,02/01/2019,21.7
Manipur,NER,24.79997072,93.95001705,02/01/2019,2.7
Meghalaya,NER,25.57049217,91.8800142,02/01/2019,6.1
Mizoram,NER,23.71039899,92.72001461,02/01/2019,1.9
Nagaland,NER,25.6669979,94.11657019,02/01/2019,2.2
Tripura,NER,23.83540428,91.27999914,02/01/2019,3.4
Punjab,NR,31.51997398,75.98000281,03/01/2019,121.9
Haryana,NR,28.45000633,77.01999101,03/01/2019,133.5
Rajasthan,NR,26.44999921,74.63998124,03/01/2019,240.2
Delhi,NR,28.6699929,77.23000403,03/01/2019,85.5
UP,NR,27.59998069,78.05000565,03/01/2019,311.8
Uttarakhand,NR,30.32040895,78.05000565,03/01/2019,39.3
HP,NR,31.10002545,77.16659704,03/01/2019,30.1
J&K,NR,33.45,76.24,03/01/2019,54.1
Chandigarh,NR,30.71999697,76.78000565,03/01/2019,4.9
Chhattisgarh,WR,22.09042035,82.15998734,03/01/2019,78.8
Gujarat,WR,22.2587,71.1924,03/01/2019,316.7
MP,WR,21.30039105,76.13001949,03/01/2019,253.6
Maharashtra,WR,19.25023195,73.16017493,03/01/2019,419.6
Goa,WR,15.491997,73.81800065,03/01/2019,13.7
DNH,WR,20.26657819,73.0166178,03/01/2019,18.2
Andhra Pradesh,SR,14.7504291,78.57002559,03/01/2019,170.1
Telangana,SR,18.1124,79.0193,03/01/2019,204.5
Karnataka,SR,12.57038129,76.91999711,03/01/2019,212.2
Kerala,SR,8.900372741,76.56999263,03/01/2019,73.6
Tamil Nadu,SR,12.92038576,79.15004187,03/01/2019,285.2
Pondy,SR,11.93499371,79.83000037,03/01/2019,6.5
Bihar,ER,25.78541445,87.4799727,03/01/2019,82
Jharkhand,ER,23.80039349,86.41998572,03/01/2019,25.6
Odisha,ER,19.82042971,85.90001746,03/01/2019,67.9
West Bengal,ER,22.58039044,88.32994665,03/01/2019,110.2
Sikkim,ER,27.3333303,88.6166475,03/01/2019,1.9
Arunachal Pradesh,NER,27.10039878,93.61660071,03/01/2019,2.2
Assam,NER,26.7499809,94.21666744,03/01/2019,23.4
Manipur,NER,24.79997072,93.95001705,03/01/2019,2.4
Meghalaya,NER,25.57049217,91.8800142,03/01/2019,6.5
Mizoram,NER,23.71039899,92.72001461,03/01/2019,1.8
Nagaland,NER,25.6669979,94.11657019,03/01/2019,2.2
Tripura,NER,23.83540428,91.27999914,03/01/2019,3.6
Punjab,NR,31.51997398,75.98000281,04/01/2019,118.8
Haryana,NR,28.45000633,77.01999101,04/01/2019,128.2
Rajasthan,NR,26.44999921,74.63998124,04/01/2019,239.8
Delhi,NR,28.6699929,77.23000403,04/01/2019,83.5
UP,NR,27.59998069,78.05000565,04/01/2019,320.7
Uttarakhand,NR,30.32040895,78.05000565,04/01/2019,38.1
HP,NR,31.10002545,77.16659704,04/01/2019,30.1
J&K,NR,33.45,76.24,04/01/2019,53.2
Chandigarh,NR,30.71999697,76.78000565,04/01/2019,4.8
Chhattisgarh,WR,22.09042035,82.15998734,04/01/2019,74.8
Gujarat,WR,22.2587,71.1924,04/01/2019,301.9
MP,WR,21.30039105,76.13001949,04/01/2019,239.3
Maharashtra,WR,19.25023195,73.16017493,04/01/2019,395.8
Goa,WR,15.491997,73.81800065,04/01/2019,12.6
DNH,WR,20.26657819,73.0166178,04/01/2019,16.7
Andhra Pradesh,SR,14.7504291,78.57002559,04/01/2019,165.2
Telangana,SR,18.1124,79.0193,04/01/2019,201.2
Karnataka,SR,12.57038129,76.91999711,04/01/2019,205.3
Kerala,SR,8.900372741,76.56999263,04/01/2019,73.4
Tamil Nadu,SR,12.92038576,79.15004187,04/01/2019,270.3
Pondy,SR,11.93499371,79.83000037,04/01/2019,6.4
Bihar,ER,25.78541445,87.4799727,04/01/2019,82.9
Jharkhand,ER,23.80039349,86.41998572,04/01/2019,26.3
Odisha,ER,19.82042971,85.90001746,04/01/2019,66.3
West Bengal,ER,22.58039044,88.32994665,04/01/2019,106.8
Sikkim,ER,27.3333303,88.6166475,04/01/2019,1.7
Arunachal Pradesh,NER,27.10039878,93.61660071,04/01/2019,2.2
Assam,NER,26.7499809,94.21666744,04/01/2019,21.7
Manipur,NER,24.79997072,93.95001705,04/01/2019,2.4
Meghalaya,NER,25.57049217,91.8800142,04/01/2019,6.3
Mizoram,NER,23.71039899,92.72001461,04/01/2019,1.7
Nagaland,NER,25.6669979,94.11657019,04/01/2019,2.2
Tripura,NER,23.83540428,91.27999914,04/01/2019,3.5
Punjab,NR,31.51997398,75.98000281,05/01/2019,121
Haryana,NR,28.45000633,77.01999101,05/01/2019,127.5
Rajasthan,NR,26.44999921,74.63998124,05/01/2019,239.1
Delhi,NR,28.6699929,77.23000403,05/01/2019,79.2
UP,NR,27.59998069,78.05000565,05/01/2019,299
Uttarakhand,NR,30.32040895,78.05000565,05/01/2019,39.2
HP,NR,31.10002545,77.16659704,05/01/2019,30.2
J&K,NR,33.45,76.24,05/01/2019,51.5
Chandigarh,NR,30.71999697,76.78000565,05/01/2019,4.3
Chhattisgarh,WR,22.09042035,82.15998734,05/01/2019,69
Gujarat,WR,22.2587,71.1924,05/01/2019,313.2
MP,WR,21.30039105,76.13001949,05/01/2019,228.2
Maharashtra,WR,19.25023195,73.16017493,05/01/2019,411.1
Goa,WR,15.491997,73.81800065,05/01/2019,13
DNH,WR,20.26657819,73.0166178,05/01/2019,17.6
Andhra Pradesh,SR,14.7504291,78.57002559,05/01/2019,167.4
Telangana,SR,18.1124,79.0193,05/01/2019,201.7
Karnataka,SR,12.57038129,76.91999711,05/01/2019,212.4
Kerala,SR,8.900372741,76.56999263,05/01/2019,75.4
Tamil Nadu,SR,12.92038576,79.15004187,05/01/2019,286.8
Pondy,SR,11.93499371,79.83000037,05/01/2019,6.6
Bihar,ER,25.78541445,87.4799727,05/01/2019,77
Jharkhand,ER,23.80039349,86.41998572,05/01/2019,23
Odisha,ER,19.82042971,85.90001746,05/01/2019,65.8
West Bengal,ER,22.58039044,88.32994665,05/01/2019,107
Sikkim,ER,27.3333303,88.6166475,05/01/2019,2
Arunachal Pradesh,NER,27.10039878,93.61660071,05/01/2019,2.2
Assam,NER,26.7499809,94.21666744,05/01/2019,22.5
Manipur,NER,24.79997072,93.95001705,05/01/2019,2.7
Meghalaya,NER,25.57049217,91.8800142,05/01/2019,5.7
Mizoram,NER,23.71039899,92.72001461,05/01/2019,1.8
Nagaland,NER,25.6669979,94.11657019,05/01/2019,2.3
Tripura,NER,23.83540428,91.27999914,05/01/2019,3.5
Punjab,NR,31.51997398,75.98000281,06/01/2019,121.4
Haryana,NR,28.45000633,77.01999101,06/01/2019,132.6
Rajasthan,NR,26.44999921,74.63998124,06/01/2019,240.4
Delhi,NR,28.6699929,77.23000403,06/01/2019,76.6
UP,NR,27.59998069,78.05000565,06/01/2019,286.8
Uttarakhand,NR,30.32040895,78.05000565,06/01/2019,39.2
HP,NR,31.10002545,77.16659704,06/01/2019,31
J&K,NR,33.45,76.24,06/01/2019,53.2
Chandigarh,NR,30.71999697,76.78000565,06/01/2019,4.3
Chhattisgarh,WR,22.09042035,82.15998734,06/01/2019,68.1
Gujarat,WR,22.2587,71.1924,06/01/2019,320.7
MP,WR,21.30039105,76.13001949,06/01/2019,227.4
Maharashtra,WR,19.25023195,73.16017493,06/01/2019,408.6
Goa,WR,15.491997,73.81800065,06/01/2019,12.9
DNH,WR,20.26657819,73.0166178,06/01/2019,18.6
Andhra Pradesh,SR,14.7504291,78.57002559,06/01/2019,171.2
Telangana,SR,18.1124,79.0193,06/01/2019,194.9
Karnataka,SR,12.57038129,76.91999711,06/01/2019,217.5
Kerala,SR,8.900372741,76.56999263,06/01/2019,75.4
Tamil Nadu,SR,12.92038576,79.15004187,06/01/2019,298.3
Pondy,SR,11.93499371,79.83000037,06/01/2019,7.2
Bihar,ER,25.78541445,87.4799727,06/01/2019,76.4
Jharkhand,ER,23.80039349,86.41998572,06/01/2019,22.6
Odisha,ER,19.82042971,85.90001746,06/01/2019,62.9
West Bengal,ER,22.58039044,88.32994665,06/01/2019,106.4
Sikkim,ER,27.3333303,88.6166475,06/01/2019,2
Arunachal Pradesh,NER,27.10039878,93.61660071,06/01/2019,2.2
Assam,NER,26.7499809,94.21666744,06/01/2019,21.7
Manipur,NER,24.79997072,93.95001705,06/01/2019,2.7
Meghalaya,NER,25.57049217,91.8800142,06/01/2019,6.2
Mizoram,NER,23.71039899,92.72001461,06/01/2019,1.9
Nagaland,NER,25.6669979,94.11657019,06/01/2019,2.3
Tripura,NER,23.83540428,91.27999914,06/01/2019,3.3
Punjab,NR,31.51997398,75.98000281,07/01/2019,118
Haryana,NR,28.45000633,77.01999101,07/01/2019,132.1
Rajasthan,NR,26.44999921,74.63998124,07/01/2019,241.9
Delhi,NR,28.6699929,77.23000403,07/01/2019,71.1
UP,NR,27.59998069,78.05000565,07/01/2019,294.2
Uttarakhand,NR,30.32040895,78.05000565,07/01/2019,40.1
HP,NR,31.10002545,77.16659704,07/01/2019,30.1
J&K,NR,33.45,76.24,07/01/2019,53.3
Chandigarh,NR,30.71999697,76.78000565,07/01/2019,4
Chhattisgarh,WR,22.09042035,82.15998734,07/01/2019,73.1
Gujarat,WR,22.2587,71.1924,07/01/2019,319.4
MP,WR,21.30039105,76.13001949,07/01/2019,230.3
Maharashtra,WR,19.25023195,73.16017493,07/01/2019,408.1
Goa,WR,15.491997,73.81800065,07/01/2019,12.7
DNH,WR,20.26657819,73.0166178,07/01/2019,18.3
